experiment_id,timestamp,model_name,dataset_version,features_version,hyperparameters,threshold,training_time_sec,inference_time_ms,precision,recall,f1_score,pr_auc,roc_auc,false_positives,false_negatives,unique_emp_fp_per_1000,notes
EXP-IsolationForest-20260829-034621,2026-08-29T03:46:21.955646+00:00,IsolationForest,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.3},0.3,9.79,0.0105,0.26,0.3262,0.2893,0.2528,0.7609,518,376,51.97,Validation evaluation; optimal threshold 0.3
EXP-RandomForest-20260829-034626,2026-08-29T03:46:26.298931+00:00,RandomForest,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.45},0.45,4.17,0.0028,1.0,0.7061,0.8277,0.8098,0.9206,0,164,0.0,Validation evaluation; optimal threshold 0.45
EXP-XGBoost-20260829-034627,2026-08-29T03:46:27.188723+00:00,XGBoost,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.75},0.75,0.71,0.0004,1.0,0.7025,0.8253,0.8112,0.921,0,166,0.0,Validation evaluation; optimal threshold 0.75
EXP-Autoencoder-20260829-034710,2026-08-29T03:47:10.056964+00:00,Autoencoder,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.3},0.3,42.69,0.0005,0.9549,0.2276,0.3676,0.4062,0.7195,6,431,0.6,Validation evaluation; optimal threshold 0.3
EXP-IsolationForest-20260829-034743,2026-08-29T03:47:43.778677+00:00,IsolationForest,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.3},0.3,10.04,0.0106,0.26,0.3262,0.2893,0.2528,0.7609,518,376,51.97,Validation evaluation; optimal threshold 0.3
EXP-RandomForest-20260829-034747,2026-08-29T03:47:47.996029+00:00,RandomForest,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.45},0.45,4.05,0.0029,1.0,0.7061,0.8277,0.8098,0.9206,0,164,0.0,Validation evaluation; optimal threshold 0.45
EXP-XGBoost-20260829-034748,2026-08-29T03:47:48.875886+00:00,XGBoost,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.75},0.75,0.7,0.0004,1.0,0.7025,0.8253,0.8112,0.921,0,166,0.0,Validation evaluation; optimal threshold 0.75
EXP-Autoencoder-20260829-034819,2026-08-29T03:48:19.975910+00:00,Autoencoder,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.3},0.3,30.91,0.0005,0.9549,0.2276,0.3676,0.4062,0.7195,6,431,0.6,Validation evaluation; optimal threshold 0.3
EXP-IsolationForest-20260829-043745,2026-08-29T04:37:45.841375+00:00,IsolationForest,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.3},0.3,10.92,0.0104,0.26,0.3262,0.2893,0.2528,0.7609,518,376,51.97,Validation evaluation; optimal threshold 0.3
EXP-RandomForest-20260829-043750,2026-08-29T04:37:50.114458+00:00,RandomForest,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.45},0.45,4.1,0.0029,1.0,0.7061,0.8277,0.8098,0.9206,0,164,0.0,Validation evaluation; optimal threshold 0.45
EXP-XGBoost-20260829-043751,2026-08-29T04:37:51.045895+00:00,XGBoost,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.75},0.75,0.75,0.0006,1.0,0.7025,0.8253,0.8112,0.921,0,166,0.0,Validation evaluation; optimal threshold 0.75
EXP-Autoencoder-20260829-043826,2026-08-29T04:38:26.338696+00:00,Autoencoder,v1.0-synthetic-dev,66-features-v1,{'optimal_threshold': 0.3},0.3,35.1,0.0011,0.9549,0.2276,0.3676,0.4062,0.7195,6,431,0.6,Validation evaluation; optimal threshold 0.3
